Website,Product Title,Product Price,Image URL
Flipkart,Panasonic 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition,"₹14,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/m/o/5/-original-imagy65rwb2sgnvh.jpeg?q=70
Flipkart,XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition,"₹5,699",https://rukminim2.flixcart.com/image/312/312/xif0q/television/b/w/c/24stv-24stv-xelectron-original-imahygbxgczuyhc5.jpeg?q=70
Flipkart,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹14,406",https://rukminim2.flixcart.com/image/312/312/xif0q/television/0/j/5/-original-imagzmeyjuvxbuqe.jpeg?q=70
Flipkart,SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design,"₹14,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/x/8/a/-original-imagttjpuyzsbzud.jpeg?q=70
Flipkart,Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...,"₹12,499",https://rukminim2.flixcart.com/image/312/312/xif0q/television/b/s/o/-original-imagt86kchfhpwgz.jpeg?q=70
Flipkart,MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart Google TV with Inbuilt Box Speakers,"₹19,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/c/0/y/-original-imagtzxt8jvqfe5y.jpeg?q=70
Flipkart,XElectron 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,980",https://rukminim2.flixcart.com/image/312/312/xif0q/television/3/k/1/43xetv-43xetv-xelectron-original-imagmj6pgjmxtkzy.jpeg?q=70
Flipkart,Dyanora AU Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹16,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/j/q/l/-original-imagzdg58mzujvpf.jpeg?q=70
Flipkart,Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output,"₹6,299",https://rukminim2.flixcart.com/image/312/312/xif0q/television/s/e/i/24alpha001-thomson-original-imagn23zufegc8n5.jpeg?q=70
Flipkart,REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X,"₹11,624",https://rukminim2.flixcart.com/image/312/312/xif0q/television/m/g/s/-original-imagxymf7mzdykgh.jpeg?q=70
Flipkart,Samtonic 104 cm (40 inch) Full HD LED Smart Android TV with Android Powerful Audio Box Speakers,"₹14,249",https://rukminim2.flixcart.com/image/312/312/xif0q/television/g/v/m/st-4102s-samtonic-original-imagu9wxnqgcbae9.jpeg?q=70
Flipkart,Samtonic 80 cm (32 inch) HD Ready LED Smart Linux TV with with HDMI & USB Ports (Black),"₹8,549",https://rukminim2.flixcart.com/image/312/312/xif0q/television/e/j/p/st-3203s-samtonic-original-imagu9wx8jvbxh4q.jpeg?q=70
Flipkart,MOTOROLA EnvisionX 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers,"₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/f/r/a/-original-imagtkmpjhtnarbg.jpeg?q=70
Flipkart,"iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","₹26,039",https://rukminim2.flixcart.com/image/312/312/xif0q/television/4/q/m/-original-imagnvxzkgqp5ubf.jpeg?q=70
Flipkart,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","₹16,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/r/8/t/-original-imagzmeygvkvmzah.jpeg?q=70
Flipkart,SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition,"₹26,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/a/b/z/ua43t5450akxxl-samsung-original-imagtew8twpzcfrf.jpeg?q=70
Flipkart,Dyanora AU Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹19,699",https://rukminim2.flixcart.com/image/312/312/xif0q/television/b/j/n/-original-imagzdg6fwzrz5f2.jpeg?q=70
Flipkart,Samtonic 80 cm (32 inch) HD Ready LED Smart Android TV with with Voice Remote (Black),"₹10,449",https://rukminim2.flixcart.com/image/312/312/xif0q/television/z/l/d/st-3207sf-samtonic-original-imagu9wxngmgqvrp.jpeg?q=70
Flipkart,SONY Bravia X64L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹39,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/9/c/v/-original-imagvgcgp2hgxs6n.jpeg?q=70
Flipkart,SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...,"₹32,990",https://rukminim2.flixcart.com/image/312/312/xif0q/television/1/z/i/-original-imagyk8ttgzxvs2s.jpeg?q=70
Flipkart,Thomson Phoenix 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos,"₹22,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/a/9/q/-original-imagyhrmd9ngthtz.jpeg?q=70
Flipkart,MOTOROLA EnvisionX 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹43,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/b/g/n/-original-imagtwterapbxxdj.jpeg?q=70
Flipkart,Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...,"₹21,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/m/a/v/-original-imagu7f3rwa8zsdv.jpeg?q=70
Flipkart,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision and Dolby Atm...,"₹33,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/j/l/3/-original-imagtwtewzgfnvjp.jpeg?q=70
