Website,Product Title,Product Price,Image URL
Flipkart,"Apple iPhone 15 (Blue, 128 GB)","₹70,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70
Flipkart,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70
Flipkart,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/n/k/-original-imagtyxb86ddjhzh.jpeg?q=70
Flipkart,"Apple iPhone 15 (Black, 128 GB)","₹70,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70
Flipkart,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
Flipkart,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/i/w/-original-imagzk4mfg6zf2fv.jpeg?q=70
Flipkart,"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/i/w/-original-imagzk4mfg6zf2fv.jpeg?q=70
Flipkart,"realme 12x 5G (Woodland Green, 128 GB)","₹13,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/e/h/12x-5g-rmx3998-realme-original-imagzjx75vd6uygj.jpeg?q=70
Flipkart,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70
Flipkart,"Apple iPhone 15 (Green, 128 GB)","₹70,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70
Flipkart,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/9/i/m6-pro-5g-mzb0eqjin-poco-original-imags3e7dazavyje.jpeg?q=70
Flipkart,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,099",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/z/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj3wqxzgquah.jpeg?q=70
Flipkart,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,350",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/z/u/-original-imagtxvtmxpagdpn.jpeg?q=70
Flipkart,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,199",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg?q=70
Flipkart,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,993",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/7/k/-original-imagtxvur9yrxvru.jpeg?q=70
Flipkart,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/8/k/-original-imagtyxcgmgvtm7y.jpeg?q=70
Flipkart,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/e/h/12x-5g-rmx3998-realme-original-imagzjx75vd6uygj.jpeg?q=70
Flipkart,"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,779",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
Flipkart,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/2/x/-original-imagtyxg7mdjhfqm.jpeg?q=70
Flipkart,"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,998",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
Flipkart,"realme C51 (Carbon Black, 128 GB)","₹9,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/5/5/-original-imagt4qzhsrnpyhb.jpeg?q=70
Flipkart,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70
Flipkart,"realme C51 (Mint Green, 128 GB)","₹9,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/x/-original-imagt4qptrkzwmxa.jpeg?q=70
Flipkart,"realme C51 (Carbon Black, 64 GB)","₹8,699",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/5/5/-original-imagt4qzhsrnpyhb.jpeg?q=70
